# n_faults
#-------------------------------------------------------------------------------
1
#-------------------------------------------------------------------------------
# n   O_lat   O_lon    O_depth length  width strike dip   np_st np_di start_time
# [-] [deg]   [deg]    [km]    [km]     [km] [deg]  [deg] [-]   [-]   [day]
#     pos_s   pos_d    slp_stk slp_dip open
#     [km]    [km]     [m]     [m]     [m]
#-------------------------------------------------------------------------------
   1  -25.6959  129.9465    0.0000   27.0000    8.0000   312.0000   22.0000  34  10 0.00
       14.0000    4.4000    0.1032   -0.3283    0.0000
       14.0000    5.2000    0.0494   -0.1958    0.0000
       14.0000    6.0000    0.0188   -0.1010    0.0000
       14.0000    6.8000    0.0050   -0.0404    0.0000
       14.0000    7.6000    0.0000   -0.0000    0.0000
       14.8000    0.4000    0.4812   -0.6961    0.0000
       14.8000    1.2000    0.4534   -0.7226    0.0000
       14.8000    2.0000    0.3710   -0.6886    0.0000
       14.8000    2.8000    0.2633   -0.5802    0.0000
       14.8000    3.6000    0.1632   -0.4279    0.0000
       14.8000    4.4000    0.0873   -0.2742    0.0000
       14.8000    5.2000    0.0384   -0.1510    0.0000
       14.8000    6.0000    0.0121   -0.0695    0.0000
       14.8000    6.8000    0.0018   -0.0243    0.0000
       14.8000    7.6000    0.0000    0.0000    0.0000
       15.6000    0.4000    0.4890   -0.6715    0.0000
       15.6000    1.2000    0.4457   -0.6834    0.0000
       15.6000    2.0000    0.3528   -0.6315    0.0000
       15.6000    2.8000    0.2434   -0.5129    0.0000
       15.6000    3.6000    0.1476   -0.3619    0.0000
       15.6000    4.4000    0.0777   -0.2184    0.0000
       15.6000    5.2000    0.0335   -0.1096    0.0000
       15.6000    6.0000    0.0100   -0.0430    0.0000
       15.6000    6.8000    0.0012   -0.0116    0.0000
       15.6000    7.6000    0.0000   -0.0000    0.0000
       16.4000    0.4000    0.5037   -0.6390    0.0000
       16.4000    1.2000    0.4532   -0.6425    0.0000
       16.4000    2.0000    0.3540   -0.5792    0.0000
       16.4000    2.8000    0.2423   -0.4542    0.0000
       16.4000    3.6000    0.1466   -0.3057    0.0000
       16.4000    4.4000    0.0775   -0.1726    0.0000
       16.4000    5.2000    0.0339   -0.0774    0.0000
       16.4000    6.0000    0.0108   -0.0239    0.0000
       16.4000    6.8000    0.0017   -0.0033    0.0000
       16.4000    7.6000    0.0000   -0.0000    0.0000
       17.2000    0.4000    0.5196   -0.6284    0.0000
       17.2000    1.2000    0.4709   -0.6258    0.0000
       17.2000    2.0000    0.3688   -0.5537    0.0000
       17.2000    2.8000    0.2523   -0.4214    0.0000
       17.2000    3.6000    0.1523   -0.2718    0.0000
       17.2000    4.4000    0.0805   -0.1444    0.0000
       17.2000    5.2000    0.0358   -0.0581    0.0000
       17.2000    6.0000    0.0121   -0.0136    0.0000
       17.2000    6.8000    0.0025   -0.0000    0.0000
       17.2000    7.6000    0.0000   -0.0000    0.0000
       18.0000    0.4000    0.5165   -0.6327    0.0000
       18.0000    1.2000    0.4663   -0.6263    0.0000
       18.0000    2.0000    0.3597   -0.5428    0.0000
       18.0000    2.8000    0.2420   -0.4010    0.0000
       18.0000    3.6000    0.1441   -0.2492    0.0000
       18.0000    4.4000    0.0755   -0.1260    0.0000
       18.0000    5.2000    0.0337   -0.0469    0.0000
       18.0000    6.0000    0.0118   -0.0092    0.0000
       18.0000    6.8000    0.0028   -0.0000    0.0000
       18.0000    7.6000    0.0000   -0.0000    0.0000
       18.8000    0.4000    0.4711   -0.6221    0.0000
       18.8000    1.2000    0.4075   -0.6028    0.0000
       18.8000    2.0000    0.2993   -0.5036    0.0000
       18.8000    2.8000    0.1935   -0.3574    0.0000
       18.8000    3.6000    0.1124   -0.2129    0.0000
       18.8000    4.4000    0.0582   -0.1023    0.0000
       18.8000    5.2000    0.0260   -0.0352    0.0000
       18.8000    6.0000    0.0094   -0.0057    0.0000
       18.8000    6.8000    0.0025   -0.0000    0.0000
       18.8000    7.6000    0.0000   -0.0000    0.0000
       19.6000    0.4000    0.3944   -0.5620    0.0000
       19.6000    1.2000    0.3198   -0.5133    0.0000
       19.6000    2.0000    0.2187   -0.4017    0.0000
       19.6000    2.8000    0.1331   -0.2670    0.0000
       19.6000    3.6000    0.0739   -0.1487    0.0000
       19.6000    4.4000    0.0372   -0.0658    0.0000
       19.6000    5.2000    0.0163   -0.0197    0.0000
       19.6000    6.0000    0.0060   -0.0020    0.0000
       19.6000    6.8000    0.0017   -0.0000    0.0000
       19.6000    7.6000    0.0000   -0.0000    0.0000
       20.4000    0.4000    0.2795   -0.3930    0.0000
       20.4000    1.2000    0.2254   -0.3537    0.0000
       20.4000    2.0000    0.1518   -0.2593    0.0000
       20.4000    2.8000    0.0909   -0.1560    0.0000
       20.4000    3.6000    0.0496   -0.0764    0.0000
       20.4000    4.4000    0.0247   -0.0282    0.0000
       20.4000    5.2000    0.0111   -0.0059    0.0000
       20.4000    6.0000    0.0045   -0.0000    0.0000
       20.4000    6.8000    0.0016   -0.0000    0.0000
       20.4000    7.6000    0.0000   -0.0000    0.0000
       21.2000    0.4000    0.1947   -0.2248    0.0000
       21.2000    1.2000    0.1619   -0.2061    0.0000
       21.2000    2.0000    0.1138   -0.1382    0.0000
       21.2000    2.8000    0.0715   -0.0688    0.0000
       21.2000    3.6000    0.0412   -0.0243    0.0000
       21.2000    4.4000    0.0222   -0.0050    0.0000
       21.2000    5.2000    0.0115   -0.0000    0.0000
       21.2000    6.0000    0.0059   -0.0000    0.0000
       21.2000    6.8000    0.0026   -0.0000    0.0000
       21.2000    7.6000    0.0000   -0.0000    0.0000
       22.0000    0.4000    0.1503   -0.1350    0.0000
       22.0000    1.2000    0.1275   -0.1200    0.0000
       22.0000    2.0000    0.0935   -0.0691    0.0000
       22.0000    2.8000    0.0631   -0.0235    0.0000
       22.0000    3.6000    0.0405   -0.0025    0.0000
       22.0000    4.4000    0.0253   -0.0000    0.0000
       22.0000    5.2000    0.0156   -0.0000    0.0000
       22.0000    6.0000    0.0093   -0.0000    0.0000
       22.0000    6.8000    0.0045   -0.0000    0.0000
       22.0000    7.6000    0.0000   -0.0000    0.0000
       22.8000    0.4000    0.1320   -0.0969    0.0000
       22.8000    1.2000    0.1085   -0.0792    0.0000
       22.8000    2.0000    0.0803   -0.0386    0.0000
       22.8000    2.8000    0.0575   -0.0080    0.0000
       22.8000    3.6000    0.0409   -0.0000    0.0000
       22.8000    4.4000    0.0290   -0.0000    0.0000
       22.8000    5.2000    0.0202   -0.0000    0.0000
       22.8000    6.0000    0.0131   -0.0000    0.0000
       22.8000    6.8000    0.0066   -0.0000    0.0000
       22.8000    7.6000    0.0001   -0.0000    0.0000
       23.6000    0.4000    0.1173   -0.0786    0.0000
       23.6000    1.2000    0.0924   -0.0574    0.0000
       23.6000    2.0000    0.0685   -0.0240    0.0000
       23.6000    2.8000    0.0514   -0.0029    0.0000
       23.6000    3.6000    0.0395   -0.0000    0.0000
       23.6000    4.4000    0.0304   -0.0000    0.0000
       23.6000    5.2000    0.0228   -0.0000    0.0000
       23.6000    6.0000    0.0156   -0.0000    0.0000
       23.6000    6.8000    0.0081   -0.0000    0.0000
       23.6000    7.6000    0.0002   -0.0000    0.0000
       24.4000    0.4000    0.0890   -0.0574    0.0000
       24.4000    1.2000    0.0717   -0.0396    0.0000
       24.4000    2.0000    0.0549   -0.0148    0.0000
       24.4000    2.8000    0.0432   -0.0009    0.0000
       24.4000    3.6000    0.0350   -0.0000    0.0000
       24.4000    4.4000    0.0285   -0.0000    0.0000
       24.4000    5.2000    0.0223   -0.0000    0.0000
       24.4000    6.0000    0.0157   -0.0000    0.0000
       24.4000    6.8000    0.0083   -0.0000    0.0000
       24.4000    7.6000    0.0002   -0.0000    0.0000
       25.2000    0.4000    0.0531   -0.0307    0.0000
       25.2000    1.2000    0.0450   -0.0214    0.0000
       25.2000    2.0000    0.0369   -0.0077    0.0000
       25.2000    2.8000    0.0311   -0.0002    0.0000
       25.2000    3.6000    0.0266   -0.0000    0.0000
       25.2000    4.4000    0.0225   -0.0000    0.0000
       25.2000    5.2000    0.0181   -0.0000    0.0000
       25.2000    6.0000    0.0130   -0.0000    0.0000
       25.2000    6.8000    0.0070   -0.0000    0.0000
       25.2000    7.6000    0.0002   -0.0000    0.0000
       26.0000    0.4000    0.0230   -0.0101    0.0000
       26.0000    1.2000    0.0210   -0.0074    0.0000
       26.0000    2.0000    0.0184   -0.0025    0.0000
       26.0000    2.8000    0.0163   -0.0000    0.0000
       26.0000    3.6000    0.0145   -0.0000    0.0000
       26.0000    4.4000    0.0127   -0.0000    0.0000
       26.0000    5.2000    0.0104   -0.0000    0.0000
       26.0000    6.0000    0.0076   -0.0000    0.0000
       26.0000    6.8000    0.0041   -0.0000    0.0000
       26.0000    7.6000    0.0002   -0.0000    0.0000
       26.8000    0.4000    0.0000   -0.0000    0.0000
       26.8000    1.2000    0.0000   -0.0000    0.0000
       26.8000    2.0000    0.0000   -0.0000    0.0000
       26.8000    2.8000    0.0002   -0.0000    0.0000
       26.8000    3.6000    0.0002   -0.0000    0.0000
       26.8000    4.4000    0.0003   -0.0000    0.0000
       26.8000    5.2000    0.0003   -0.0000    0.0000
       26.8000    6.0000    0.0003   -0.0000    0.0000
       26.8000    6.8000    0.0002   -0.0000    0.0000
       26.8000    7.6000    0.0001   -0.0000    0.0000
